Codice Regione,Codice Città Metropolitana,Codice Provincia (1),Progressivo del Comune (2),Codice Comune formato alfanumerico,Denominazione in italiano,Denominazione altra lingua,Codice Ripartizione Geografica,Ripartizione geografica,Denominazione regione,Denominazione Città metropolitana,Denominazione provincia,Flag Comune capoluogo di provincia,Sigla automobilistica,Codice Comune formato numerico,Codice Comune numerico con 110 province (dal 2010 al 2016),Codice Comune numerico con 107 province (dal 2006 al 2009),Codice Comune numerico con 103 province (dal 1995 al 2005),Codice Catastale del comune,Popolazione legale 2011 (09/10/2011),Codice NUTS1 2010,Codice NUTS2 2010 (3),Codice NUTS3 2010,Codice NUTS1 2006,Codice NUTS2 2006 (3),Codice NUTS3 2006
19,282,082, 067 ,082067,Santa Flavia,,5,Isole,Sicilia,Palermo,-,0,PA,82067,82067,82067,82067,I188,10.751,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 068 ,082068,Sciara,,5,Isole,Sicilia,Palermo,-,0,PA,82068,82068,82068,82068,I534,2.787,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 069 ,082069,Sclafani Bagni,,5,Isole,Sicilia,Palermo,-,0,PA,82069,82069,82069,82069,I541,450,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 070 ,082070,Termini Imerese,,5,Isole,Sicilia,Palermo,-,0,PA,82070,82070,82070,82070,L112,26.201,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 071 ,082071,Terrasini,,5,Isole,Sicilia,Palermo,-,0,PA,82071,82071,82071,82071,L131,11.985,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 072 ,082072,Torretta,,5,Isole,Sicilia,Palermo,-,0,PA,82072,82072,82072,82072,L282,4.141,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 073 ,082073,Trabia,,5,Isole,Sicilia,Palermo,-,0,PA,82073,82073,82073,82073,L317,10.360,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 074 ,082074,Trappeto,,5,Isole,Sicilia,Palermo,-,0,PA,82074,82074,82074,82074,L332,3.211,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 075 ,082075,Ustica,,5,Isole,Sicilia,Palermo,-,0,PA,82075,82075,82075,82075,L519,1.287,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 076 ,082076,Valledolmo,,5,Isole,Sicilia,Palermo,-,0,PA,82076,82076,82076,82076,L603,3.747,ITG,ITG1,ITG12,ITG,ITG1,ITG12
